,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,time_to_first_funding,time_first_to_last_funding,status_encoded
19,10Â°North,Fashion,0.0,operating,CAN,ON,Toronto,Mississauga,1.0,8,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
20,10BestThings,Curated Web,50000.0,closed,USA,OH,Cleveland,Cleveland,1.0,4,2009,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,10sec,Mobile Commerce,1600000.0,operating,other,other,other,other,2.0,7,2013,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3150684931506849,0.5178082191780822,2
22,10seconds Software,Mobility,100000.0,operating,AUS,other,Sydney,Sydney,1.0,7,2009,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
23,10X Technologies,Biotechnology,3000000.0,operating,USA,CA,SF Bay Area,Oakland,1.0,1,2012,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852054794520548,0.0,2
24,10X10 Room,Software,77500.0,operating,USA,MA,Boston,Lexington,1.0,1,2010,0.0,0.0,0.0,0.0,0.0,77500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7780821917808218,0.0,2
25,117go,Social Travel,20000000.0,operating,CHN,other,Shanghai,Shanghai,1.0,10,2011,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5753424657534247,0.0,2
26,12 Star Survival,Sports,0.0,operating,other,other,other,other,1.0,7,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25205479452054796,0.0,2
27,120 Sports,Sports,0.0,operating,USA,IL,Chicago,Chicago,1.0,1,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1369863013698631,0.0,2
28,121 Rentals,Real Estate,0.0,operating,USA,TX,TX - Other,Amarillo,1.0,4,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3972602739726026,0.0,2
