,0
market_Advertising,-0.30213480860763264
market_Analytics,-0.33308025223736776
market_Android,0.004080599685255447
market_Apps,-0.01877915667017478
market_Automotive,-0.02832553861779352
market_Biotechnology,-0.015975597795844464
market_Clean Technology,0.1430330210147369
market_Cloud Computing,-0.07747137811893445
market_Consulting,0.07402826843947802
market_Curated Web,0.3216213902212149
market_E-Commerce,-0.030729844232759373
market_Education,-0.07313286806187093
market_Enterprise Software,-0.9592956434790252
market_Facebook Applications,0.01808788577542088
market_Fashion,0.05490080497457639
market_Finance,-0.254174038152422
market_Games,0.07555292563347912
market_Hardware + Software,-0.08711897506710162
market_Health Care,-0.06790977705779706
market_Health and Wellness,0.0063922561617456505
market_Hospitality,-0.02408144501082354
market_Internet,-0.06642685994809289
market_Manufacturing,-0.02540845384000742
market_Marketplaces,0.06185871444916221
market_Messaging,-0.044148897778265715
market_Mobile,-0.26017846267302
market_Music,0.04297867684271989
market_Networking,0.014316161837097201
market_News,-0.0008577029038683527
market_Photography,-0.12210171956446628
market_Public Relations,0.09508083856461416
market_Real Estate,-0.032307686213355336
market_SaaS,-0.1421841560187039
market_Sales and Marketing,-0.036806903140147285
market_Search,-0.03150259235108539
market_Security,-0.4888809735712664
market_Semiconductors,-0.21918333703383802
market_Shopping,-0.05520554700704705
market_Social Media,0.21265583702966456
market_Social Network Media,0.06635274635578872
market_Software,-1.0983113427399414
market_Sports,0.05510703753541901
market_Travel,-0.08239012639997485
market_Video,-0.10593163007959017
market_Web Development,-0.05477127628051886
market_Web Hosting,-0.3003409521912911
market_iPhone,-0.018058567531491123
market_other,-1.147498648591924
region_Austin,-0.1293670680973516
region_Boston,-0.8122574282288133
region_Chicago,-0.10854789645292369
region_Denver,-0.11448969889406244
region_London,-0.1913913644120296
region_Los Angeles,-0.21449004859256668
region_New York City,-0.42337596374444414
region_SF Bay Area,-2.2938612872763113
region_San Diego,-0.20273672332666398
region_Seattle,-0.34535828375574584
region_Tel Aviv,-0.18782581937063078
"region_Washington, D.C.",-0.20485786276146434
region_other,-0.130098549534031
funding_rounds,-1.636144601500622
seed,-0.09038479261914076
venture,-2.31857688860851
equity_crowdfunding,-0.019369178460899354
undisclosed,-0.04667900061232073
convertible_note,0.018066810984811395
debt_financing,-0.045459176575111275
angel,-0.016463183778926103
grant,0.022401648178271116
private_equity,-0.0967408379201393
product_crowdfunding,-0.011499936898569407
round_A,-0.41313595295411587
round_B,-0.6550455736655683
round_C,-0.5044469221476896
round_D,-0.22133350093242665
round_E,-0.08214598706974827
round_F,-0.031649583883795435
round_G,-0.008836071642427735
time_to_first_funding,-3.80403016855321
founded_month,-0.06603086333600812
international,0.03193650966674942
status_encoded,19.28540834724639
